"filename", "language", "JavaScript", "TypeScript", "JSON", "JSON with Comments", "TypeScript JSX", "XML", "Markdown", "Prisma", "CSS", "comment", "blank", "total"
"/Users/jakehumphrey/avixoh-admin/components/modals/alert-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 6, 47
"/Users/jakehumphrey/avixoh-admin/components/modals/store-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 10, 95
"/Users/jakehumphrey/avixoh-admin/components/navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
"/Users/jakehumphrey/avixoh-admin/components/overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"/Users/jakehumphrey/avixoh-admin/components/store-switcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 9, 101
"/Users/jakehumphrey/avixoh-admin/components/theme-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 41
"/Users/jakehumphrey/avixoh-admin/components/ui/alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 7, 60
"/Users/jakehumphrey/avixoh-admin/components/ui/api-alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 8, 56
"/Users/jakehumphrey/avixoh-admin/components/ui/api-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 5, 50
"/Users/jakehumphrey/avixoh-admin/components/ui/badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"/Users/jakehumphrey/avixoh-admin/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 6, 57
"/Users/jakehumphrey/avixoh-admin/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 9, 80
"/Users/jakehumphrey/avixoh-admin/components/ui/checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"/Users/jakehumphrey/avixoh-admin/components/ui/command.tsx", "TypeScript JSX", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 19, 156
"/Users/jakehumphrey/avixoh-admin/components/ui/data-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 8, 130
"/Users/jakehumphrey/avixoh-admin/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 13, 124
"/Users/jakehumphrey/avixoh-admin/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 19, 201
"/Users/jakehumphrey/avixoh-admin/components/ui/form.tsx", "TypeScript JSX", 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 25, 177
"/Users/jakehumphrey/avixoh-admin/components/ui/heading.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"/Users/jakehumphrey/avixoh-admin/components/ui/image-upload.tsx", "TypeScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 9, 78
"/Users/jakehumphrey/avixoh-admin/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"/Users/jakehumphrey/avixoh-admin/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"/Users/jakehumphrey/avixoh-admin/components/ui/modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"/Users/jakehumphrey/avixoh-admin/components/ui/popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 7, 32
"/Users/jakehumphrey/avixoh-admin/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 13, 122
"/Users/jakehumphrey/avixoh-admin/components/ui/separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"/Users/jakehumphrey/avixoh-admin/components/ui/table.tsx", "TypeScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 11, 115
"/Users/jakehumphrey/avixoh-admin/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"/Users/jakehumphrey/avixoh-admin/hooks/use-origin.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"/Users/jakehumphrey/avixoh-admin/hooks/use-store-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/Users/jakehumphrey/avixoh-admin/lib/prismadb.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/jakehumphrey/avixoh-admin/lib/stripe.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/jakehumphrey/avixoh-admin/lib/utils.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/jakehumphrey/avixoh-admin/middleware.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/jakehumphrey/avixoh-admin/next.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"/Users/jakehumphrey/avixoh-admin/package-lock.json", "JSON", 0, 0, 6589, 0, 0, 0, 0, 0, 0, 0, 1, 6590
"/Users/jakehumphrey/avixoh-admin/package.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 1, 58
"/Users/jakehumphrey/avixoh-admin/postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/jakehumphrey/avixoh-admin/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 122, 0, 2, 21, 145
"/Users/jakehumphrey/avixoh-admin/providers/modal-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"/Users/jakehumphrey/avixoh-admin/providers/theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"/Users/jakehumphrey/avixoh-admin/providers/toast-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"/Users/jakehumphrey/avixoh-admin/public/next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/jakehumphrey/avixoh-admin/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/jakehumphrey/avixoh-admin/tailwind.config.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 76
"/Users/jakehumphrey/avixoh-admin/tsconfig.json", "JSON with Comments", 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 1, 29
"Total", "-", 89, 1240, 6665, 26, 4289, 2, 4, 122, 61, 21, 812, 13331
